,authors,title,year,Journal,doi/url,abstract,keywords,inclusion: IACS,inclusion: plot-level data,country,is the paper in english,exclusion yes/no,exclusion: reason,responsible
238,"['Klammler, Gernot', 'Fank, Johann']",Determining water and nitrogen balances for beneficial management practices using lysimeters at Wagna test site (Austria),2014,Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2014.06.009,"The shallow Murtal aquifer south of Graz, Austria, provides easily withdrawable groundwater, which is supplied as drinking water without any chemical treatment. The aquifer is also used intensively by agriculture. Common agricultural management practices are the main source for diffuse nitrogen leaching and high groundwater nitrate concentrations. To safeguard the coexisting use of these two important resources, lysimeters are operated at the agricultural test site Wagna, Austria, and the influence of two beneficial management practices – low nitrogen input and organic farming – on nitrogen leaching towards groundwater is investigated. The technical lysimeter design as presented here consists of: (1) high-resolution weighing cells, (2) a suction controlled lower boundary condition for sucking off seepage water, thus emulating undisturbed field conditions, (3) comparative soil temperature, water content and matrix potential measurements inside and outside the lysimeter at different depths, (4) an installation of the lysimeters directly into test plots and (5) a removable upper lysimeter ring enabling machinery soil tillage. Our results indicate that oasis effects or fringe effects of the lysimeter cylinder on unsaturated water flow did not occur. Another lysimeter cultivated with lawn is operated for observing grass-reference evapotranspiration, which resulted in good agreement with calculated grass-reference evapotranspiration according to the FAO-Penman–Monteith method. We conclude that lysimeters installed at Wagna test site did not show any fringe effects and, thus, are appropriate tools for measuring water balance elements and nitrogen leaching of arable and grass land at point scale. Furthermore, our results for the period of 2005 to 2011 show that beneficial management practices reduced nitrate leaching and, hence, may allow for a sustainable coexistence of drinking water supply and agriculture in the Murtal aquifer.","['Evapotranspiration', 'Grass-reference evapotranspiration', 'Low nitrogen input farming', 'Nitrogen/nitrate leaching', 'Organic farming', 'weighable, monolithic lysimeter']",no,no,AT,yes,yes,dataset,Saskia
263,"['Schröder, Winfried', 'Schmidt, Gunther']",Overview of principles and implementations to deal with spatial issues in monitoring environmental effects of genetically modified organisms,2012,Environmental Sciences Europe,http://dx.doi.org/10.1186/2190-4715-24-6,"The approval of genetically modified organisms [GMO] for deliberate release and placing on the market requires GMO environmental risk assessment [ERA] and GMO environmental monitoring [EM]. Both GMO ERA and GMO EM are still under discussion. The goal of this article is, firstly, to analyse principles of GMO EM as published in the Association of German Engineers [VDI] Guideline 4330 Part 1, focusing on the characterisation of the receiving environment affected by GMO cultivation and the representativeness of GMO EM to assess large-scale implications of GMO cultivation. Secondly, the article introduces measures to meet these issues by the use of map data and statistics within a geographical information system [GIS]. Finally, three case studies exemplify the application of data and methods. To deal with spatial issues of GMO EM as outlined in the VDI Guideline 4330 Part 1, a GIS-based approach is presented. It relies on both spatial data collected from several sources which were derived from sample point data and geostatistical and multivariate statistical methods within a GIS environment. Data used for describing the receiving environment and for planning and evaluating monitoring schemes comprise information about land use, climate, phenology, soil coverage, species distribution and ecoregions. The case studies deal with (1) ecological land classification for characterisation of GMO-receiving environments and representative EM, (2) selection of representative sites for modelling GMO dispersal, and (3) delineation and mapping of segregation distances. Even a systematic and stepwise-structured risk assessment cannot cover all risk relevant questions, especially large-scale, long-term and combinatory effects which may not occur before the conventional application of the respective GMO. Hence, GMO EM is crucial to deal with unanticipated and undesirable effects. The article gives an overview of a GIS implementation and relevant geodata promoting GMO EM.[PUBLICATION ABSTRACT]",['Environmental Studies'],yes,yes,DE,Yes,no,,Saskia
275,NA,"Machine Learning-Based Processing Proof-of-Concept Pipeline for Semi-Automatic Sentinel-2 Imagery Download, Cloudiness Filtering, Classifications, and Updates of Open Land Use/Land Cover Datasets",2021,ISPRS International Journal of Geo-Information,http://dx.doi.org/10.3390/ijgi10020102,"Land use and land cover are continuously changing in today’s world. Both domains, therefore, have to rely on updates of external information sources from which the relevant land use/land cover (classification) is extracted. Satellite images are frequent candidates due to their temporal and spatial resolution. On the contrary, the extraction of relevant land use/land cover information is demanding in terms of knowledge base and time. The presented approach offers a proof-of-concept machine-learning pipeline that takes care of the entire complex process in the following manner. The relevant Sentinel-2 images are obtained through the pipeline. Later, cloud masking is performed, including the linear interpolation of merged-feature time frames. Subsequently, four-dimensional arrays are created with all potential training data to become a basis for estimators from the scikit-learn library; the LightGBM estimator is then used. Finally, the classified content is applied to the open land use and open land cover databases. The verification of the provided experiment was conducted against detailed cadastral data, to which Shannon’s entropy was applied since the number of cadaster information classes was naturally consistent. The experiment showed a good overall accuracy (OA) of 85.9%. It yielded a classified land use/land cover map of the study area consisting of 7188 km2 in the southern part of the South Moravian Region in the Czech Republic. The developed proof-of-concept machine-learning pipeline is replicable to any other area of interest so far as the requirements for input data are met.","['Algorithms', 'Automation', 'Classification', 'Cloud cover', 'Clouds', 'Concept learning', 'Databases', 'Datasets', 'Deep learning', 'Entropy', 'Entropy (Information theory)', 'Europe', 'Geographic information systems', 'Geography', 'Image classification', 'Imagery', 'Information sources', 'Interpolation', 'Knowledge bases (artificial intelligence)', 'Land cover', 'Land use', 'Landsat satellites', 'Learning algorithms', 'LightGBM estimator', 'Machine learning', 'Pipelines', 'Satellite imagery', 'Satellite sensing', 'Sentinel 2', 'Spatial discrimination', 'Spatial resolution', 'Support vector machines', 'Taxonomy', 'Training', 'United States--US', 'cloud masking', 'image classification', 'land cover', 'land use', 'machine learning', 'satellite imagery']",no,no,CZ,yes,yes,dataset,Saskia
287,"['Greimel, M', 'Handler, F', 'Stadler, M', 'Blumauer, E']",Method of determination of farm individual and national work load of the Austrian agriculture,2003,BODENKULTUR,,"The aim of the paper was to calculate the farm specific work load of the Austrian agriculture that allows to use working time as an instrument to improve direct and indirect payments to farmers. Standard working procedures and standard mechanisation for all relevant Austrian farm types and sizes were modelled. Working hours for this standardised procedures as well as machine hours were taken from Austrian, German and Swiss data pools.Individual farm size and animal data were gathered from INVEKOS (= farm specific data given by the farmers to apply for direct payments). Data of slope gradients of the fields were taken from the ""Berghofekataster"". Standard work load of 156.167 Austrian farms, thereof 119.413 livestock keeping farms were calculated. Data represented 2,141.009 cattle, 1,907.833 pigs, 225.422 sheeps, 37.303 goats, 58-919 horses and 10.487.904 poultry together with 930.369 ha grassland and 1,357.394 ha arable land.Standard work load did not include labour for wine, fruit and vegetable growing and no working hours for forest work were taken into account. Additionally working hours for sporadic work e.g. repair of machines, management, training, were not taken into consideration in this project. PU  - W U V-UNIVERSITATSVERLAG- VIENNA UNIV PRESS PI  - VIENNA PA  - BERGGASSE 5, A-1090 VIENNA, AUSTRIA",NA,yes,?,AT,no,yes,language,Saskia
298,"['Pavlík, Jan', 'Hrnčírová, Markéta', 'Stočes, Michal', 'Masner, Jan', 'Vaněk, Jiří']",Usability of IoT and Open Data Repositories for Analyzing Water Pollution. A Case Study in the Czech Republic,2020,ISPRS International Journal of Geo-Information,http://dx.doi.org/10.3390/ijgi9100591,"Recently, the process of data opening has intensified, especially thanks to the involvement of many institutions that have not yet shared their data. Some entities provided data to the public long before the trend of open data was pushed to a wider level, but many institutions have only engaged in this process recently thanks to a systemic state-level effort to make data repositories available to the public. Therefore, there are many new potential sources of data available for research, including the area of water management. This article analyses the current state of available data in the Czech Republic—their content, structure, format, availability, costs and other indicators that affect the usability of these data for independent researchers in the area of water management. The case study was conducted to ascertain the levels of accessibility and usability of data in open data repositories and the possibilities of obtaining data from IoT (Internet of Things) devices such as networked sensors where required data is either not available from existing sources, too costly, or otherwise unsuitable for the research. The goal of the underlying research was to assess the impact/ratio of various watershed factors based on monitored indicators of water pollution in a model watershed. Such information would help propose measures for reducing the volume of pollution resulting in increased security in terms of available drinking water for the capital city Prague.","['Case studies', 'Creeks & streams', 'Czech Republic', 'Data', 'Datasets', 'Drinking water', 'Electronic devices', 'GIS', 'Geographic information systems', 'Geography', 'Indicators', 'Internet of Things', 'IoT', 'Open data', 'Pollution monitoring', 'Repositories', 'Research', 'Security', 'Software', 'Spatial data', 'Usability', 'Water management', 'Water pollution', 'Water quality', 'Watersheds', 'diffuse water pollution', 'factor analysis', 'open data', 'spatial data', 'watershed monitoring']",yes,yes,CZ,yes,no,,Saskia
302,"['Li, Xiaodong']",Using a sub-pixel mapping model to improve the accuracy of landscape pattern indices,2011,Ecological indicators,http://dx.doi.org/10.1016/j.ecolind.2010.12.016,"The assessment of landscape spatial patterns is a key issue in landscape management. Landscape pattern indices (LPIs) are tools appropriate for analyzing landscape spatial patterns. LPIs are often derived from raster land cover maps that are extracted from remotely sensed data through hard classification. However, pixel-based hard classification methods suffer from the mixed pixel problem (in which pixels contain more than one land cover class), making for inaccurate classification maps and LPIs. In addition, LPIs generated by hard classification methods are characterized by grain sizes (the sampling unit sizes) that limit the derived landscape pattern to a certain scale. Sub-pixel mapping (SPM) models can enable fine-scale estimation of the spatial patterns of land cover classes without requiring additional data; hence, this is an appropriate downscaling method for land cover mapping. The fraction images generated by soft classification estimate the area proportion of each land cover class within each pixel, and using these images as input enables SPM models to alleviate the mixed pixel problem. At the same time, by transforming fraction images into a finer-scaled hard classification map, SPM models can minimize the influence of grain size on LPIs calculation. In this research, simulated landscape thematic patterns that can provide different landscape spatial patterns, eight commonly used LPIs and a SPM model that maximizes the spatial dependence between neighbouring sub-pixels were applied to assess the efficiency of deriving LPIs from sub-pixel model maps. Results showed that the SPM model can more precisely characterize landscape patterns than hard classification methods can. Landscape fragmentation, class abundance, the uncertainty in SPM, and the spatial resolution of the remotely sensed data influenced LPIs derived from sub-pixel maps. The largest patch index, landscape division, and patch cohesion derived from remotely sensed data with different spatial resolutions through the SPM model were suitable for inter-comparison, whereas the patch density, mean patch area, edge density, landscape shape index, and area-weighted mean shape index derived from the sub-pixel maps were sensitive to the spatial resolution of the remotely sensed data.",['cohesion ; land cover ; landscape management ; lan'],no,no,?,yes,yes,dataset,Stefan
324,"['Persson, Anna S', 'Mazier, Florence', 'Smith, Henrik G']",When beggars are choosers?How nesting of a solitary bee is affected by temporal dynamics of pollen plants in the landscape,2018,Ecology and Evolution,http://dx.doi.org/10.1002/ece3.4116,"Wild bees are declining in intensively farmed regions worldwide, threatening pollination services to flowering crops and wild plants. To halt bee declines, it is essential that conservation actions are based on a mechanistic understanding of how bee species utilize landscapes. We aimed at teasing apart how foraging resources in the landscape through the nesting season affected nesting and reproduction of a solitary bee in a farmland region. We investigated how availability of floral resources and potentially resource‐rich habitats surrounding nests affected nest provisioning and reproduction in the solitary polylectic bee Osmia bicornis. The study was performed in 18 landscape sectors dominated by agriculture, but varying in agricultural intensity in terms of proportion of organic crop fields and seminatural permanent pastures. Pasture‐rich sectors contained more oak (Quercus robur), which pollen analysis showed to be favored forage in early season. More oaks ≤100 m from nests led to higher proportions of oak pollen in nest provisions and increased speed of nest construction in early season, but this effect tapered off as flowering decreased. Late‐season pollen foraging was dominated by buttercup (Ranunculus spp.), common in various noncrop habitats. Foraging trips were longer with more oaks and increased further through the season. The opposite was found for buttercup. Oak and buttercup interacted to explain the number of offspring; buttercup had a positive effect only when the number of oaks was above the mean for the studied sectors. The results show that quality of complex and pasture‐rich landscapes for O. bicornis depends on preserving existing and generating new oak trees. Lignose plants are key early‐season forage resources in agricultural landscapes. Increasing habitat heterogeneity with trees and shrubs and promoting suitable late‐flowering forbs can benefit O. bicornis and other wild bees active in spring and early summer, something which existing agri‐environment schemes seldom target.","['Agricultural land', 'Agricultural resources', 'Bees', 'Biology', 'Crop fields', 'Crops', 'Flowering', 'Foraging habitats', 'Forbs', 'Habitats', 'Landscape', 'Landscape preservation', 'Nest provisioning', 'Nesting', 'Nests', 'Oak', 'Offspring', 'Osmia bicornis', 'Pasture', 'Plants (botany)', 'Pollen', 'Pollination', 'Provisioning', 'Quercus robur', 'Ranunculus', 'Reproduction', 'Shrubs', 'Trees', 'agri‐environment schemes', 'central‐place forager', 'farmland biodiversity', 'organic farming', 'pollen foraging', 'pollinator', 'red mason bee']",yes,yes,SE,Yes,no,,Stefan
378,"['Osinski, Elisabeth', 'Meier, Uwe', 'Büchs, Wolfgang', 'Weickel, Joerg', 'Matzdorf, Bettina']",Application of biotic indicators for evaluation of sustainable land use—current procedures and future developments,2003,"Agriculture, Ecosystems & Environment",https://doi.org/10.1016/S0167-8809(03)00100-2,"Indicators in the field of bio-diversity and landscape are applied on various levels, including the continental field as well as the individual agricultural enterprise. Apart from the ecological evaluation of agricultural enterprises and agrarian policy measures, indicators are also used in environmental reporting and evaluation as well as in planning or simulation models in administrative and scientific fields. Already for longer period of time, indicators have been used as assessment criteria in landscape planning to support decisions regarding land use. Due to the standards the EU commission requires from the member states in this regard, the application of indicators to assess the effects of agri-environment programs have gained prominence. The EU requires proof of the achievement of the promotion aims such as soil (erosion, nutrients, plant-protective agents), water, bio-diversity and landscape (EU/VO 12004/00). This commitment can be met by means of a functioning environmental reporting. However, only an insufficient number of suitable indicators exist in the fields of bio-diversity and landscape. In a bottom-up approach, control systems to assess ecological farming achieved on an operational level for a future development were recently developed. Here, a future development is seen in the alignment referring to results or goals, respectively, and in the regionalisation. The article gives an overview of the indicator application on different spatial levels and for different purposes.","['Agri-environment program', 'Application of indicators', 'Farm assessment', 'Landscape planning', 'Monitoring']",no,no,?,yes,yes,no IACS data used,Andreas
379,"['Kersebaum, K C', 'Steidl, J', 'Bauer, O', 'Piorr, H.-P']",Modelling scenarios to assess the effects of different agricultural management and land use options to reduce diffuse nitrogen pollution into the river Elbe,2003,Physics and Chemistry of the Earth,https://doi.org/10.1016/S1474-7065(03)00090-1,"The European Water Framework Directive requires the development of measure programs, management plans and strategies to avoid the water pollution with nutrients and other harmful matters. In a case study model calculations were used to evaluate different options of land use, agricultural and water management to reduce nitrogen immissions and enhance water and nutrient retardation in the Elbe river basin. The model scenarios consider measures which are recommended to reduce nitrogen pollution like organic farming, conversion of arable land into pasture, extensivation of grassland production and set aside. Additionally the re-wetting of formerly drained areas by water management is considered where applicable. Although there are distinct differences in nitrogen leaching between the different agricultural land use and management options, the regional effects of the scenarios on the emissions from the root zone are only fair (max. 13%) because of their limited extent of application. But the targeted application of the measures in zones of high river impact risk derived from groundwater residence times and decay calculations lead to a distinct reduction of the nitrogen input into the river flow system. The combination of water management and extensivation of agricultural production can achieve a reduction of 22% (4.400 t/a) of the nitrogen immissions originated from agriculture. Areas with a high reduction potential for nitrogen immission can be identified. This can be a relevant information for the development of measure programs within the water framework directive.","['Agricultural production systems', 'Nitrogen leaching', 'River basin management', 'River impact', 'Water framework directive']",yes,yes,DE,yes,no,,Andreas
407,"['Roeder, Norbert', 'Kilian, Stefan']",The market for SFP in Germany - a descriptive analysis,2008,BERICHTE UBER LANDWIRTSCHAFT,,"The implementation of decoupled transfer payments in the form of single payments is a pivotal element of the single payment scheme (SPS) of the FISCHER reform. This paper focuses on the descriptive analysis of the modifications of this policy change. The analysis of the German Central IACS database (ZID) shows that the current face value and distribution of the payment entitlements largely reflects the historical evolution of German farm structures. While in the old federal states the distribution of payment entitlements differs between regions with intensive and extensive agriculture, the newly-formed states show a more homogenous distribution of the face values. The heterogeneity of payment entitlements is already apparent at the lowest level of spatial aggregation (municipality) in all trade regions. In Germany, the transition to the regional model in 2013 will lead to a substantial redistribution of the agricultural transfer payments of the first pillar. Furthermore, analyses of the ZID shows that trade with payment entitlements per se, that is to say trade without simultaneous trade of land, seldom occurs. The analysis of an expert survey adds up to trading prices of single payments which are markedly lower than the net present value. A possible reason Could be that not all the payment entitlements are activated, which is an indication of a surplus of single payments. PU  - W KOHLHAMMER GMBH, I A JOCHEN KRAUSS PI  - STUTTGART PA  - AMTGERICHT  STUTTGART HRB 1733HRB, STUTTGART, 00000, GERMANY",NA,yes,no,DE,yes,yes,no plot-level data is used,Andreas
412,"['Paredes-Gomez, Vanessa', 'Gutierrez, Alberto', 'Del Blanco, Vicente', 'Nafria, David A']",A Methodological Approach for Irrigation Detection in the Frame of Common Agricultural Policy Checks by Monitoring,2020,AGRONOMY-BASEL,10.3390/agronomy10060867,"New needs have arisen from member states and paying agencies (PA) to achieve the compliance assessment from farmers in the frame of the European Common Agricultural Policy (CAP). Traditional field inspection (on-the-spot checks) and computer-aided photointerpretation (CAPI) carried out by each PA over a sample of 5% of the applicants are being replaced by a 100% sample Copernicus satellite-based system (checks by monitoring, CbM). This new approach will be an integral part of the Area Monitoring System that will be part of the Integrated Administrative Control System (IACS) in the post-2020 CAP. Among all the aid schemes having to be analyzed, there are some specific aids in which the detection of irrigation of certain crops can result in a no-compliance resolution. Apart from that, the knowledge of the truly irrigated area in each campaign has always been data of great interest in irrigation planning, crop yield statistics, and water management, and now more than ever. Although several sources of information exist, there is no consensual methodology for estimating the actual irrigated area. The objective of this study is to propose a methodological approach based mainly on Copernicus Sentinel and IACS data not only to detect the surface of herbaceous crops that have been actually irrigated but also to derive a product suitable to be incorporated into the CAP monitoring process system. This methodology is already being used operationally during the ongoing campaign 2020 by Castile and Leon PA. PU  - MDPI PI  - BASEL PA  - ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,yes,yes,Spain,yes,yes,study area is in Spain,Andreas
416,"['Guillem, E E', 'Barnes, A P', 'Rounsevell, M D A', 'Renwick, A']",Refining perception-based farmer typologies with the analysis of past census data,2012,Journal of Environmental Management,https://doi.org/10.1016/j.jenvman.2012.06.020,"Perception-based typologies have been used to explore the decision making process of farmers and to inform policy design. These typologies have been criticised, however, for not fully capturing true farmer behaviour, and are consequently limited for supporting policy formulation. We present a method that develops a typology, using a social survey approach based on how farmers perceive their environment (e.g. birds and agri-environmental schemes). We then apply time-series census data on past farm strategies (i.e. land use allocation, management style and participation into agri-environmental schemes) to refine these typologies. Consequently, this offers an approach to improving the profiling of farmer types, and strengthens the validity of input into future agricultural policies. While the social survey highlights a certain degree of awareness towards birds with respect to farmer types, the analysis of past farm strategies indicated that farmers did not entirely follow their stated objectives. External factors such as input and output price signals and subsidy levels had a stronger influence on their strategies rather than stated environmental and social issues. Consequently, the refining of farmer types using this approach would aid the design of policy instruments, which integrate ecological issues within planning.","['Agri-environmental schemes', 'Agricultural census data', 'CAP', 'Cluster analysis', 'Farm strategy', 'Farmer typology']",?,?,Scotland,yes,yes,study area is in Scotland,Andreas
